id,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
1,민원실,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2012-5-1,경기도 안산시 단원구 화랑로 387(고잔동),경기도 안산시 단원구 고잔동 515,안산시청,031-481-2300,37.322304,126.832089,2016-05-31
2,의회,의회,경기도,안산시,관공서,안산시,Public_WiFi,2012-5-1,경기도 안산시 단원구 화랑로 387(고잔동),경기도 안산시 단원구 고잔동 515,안산시청,031-481-2300,37.322304,126.832089,2016-05-31
3,단원보건소,민원실 로비,경기도,안산시,관공서,안산시,Public_WiFi,2012-5-1,경기도 안산시 단원구 화랑로 387(고잔동),경기도 안산시 단원구 고잔동 515,안산시청,031-481-2300,37.322304,126.832089,2016-05-31
4,일동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 성호로 53 (일동),경기도 안산시 상록구 일동 706-3,안산시청,031-481-2300,37.310356,126.866182,2016-05-31
5,이동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 이동로 46 (이동),경기도 안산시 상록구 이동 578-12,안산시청,031-481-2300,37.305387,126.860785,2016-05-31
6,사1동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 석호로 171 (사동),경기도 안산시 상록구 사동 1304,안산시청,031-481-2300,37.297103,126.850993,2016-05-31
7,사2동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 감골1로 52 (사동),경기도 안산시 상록구 사동 1344-5,안산시청,031-481-2300,37.289835,126.851878,2016-05-31
8,사3동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 석호로 171 (사동),경기도 안산시 상록구 사동 1304,안산시청,031-481-2300,37.297103,126.850993,2016-05-31
9,본오1동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 샘골로 16 (본오동),경기도 안산시 상록구 본오동 990,안산시청,031-481-2300,37.285153,126.864309,2016-05-31
10,본오2동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 각골로 75 (본오동),경기도 안산시 상록구 본오동 796-4,안산시청,031-481-2300,37.296205,126.872356,2016-05-31
11,본오3동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 용신로 376 (본오동),경기도 안산시 상록구 본오동 873,안산시청,031-481-2300,37.301426,126.863847,2016-05-31
12,부곡동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 성호로 326 (부곡동),경기도 안산시 상록구 부곡동 671-4,안산시청,031-481-2300,37.331852,126.861021,2016-05-31
13,월피동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 시낭북로 4 (부곡동),경기도 안산시 상록구 부곡동 738,안산시청,031-481-2300,37.333515,126.856595,2016-05-31
14,성포동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 충장로 468 (성포동),경기도 안산시 상록구 성포동 585,안산시청,031-481-2300,37.320615,126.849534,2016-05-31
15,반월동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 건건로 51 (건건동),경기도 안산시 상록구 건건동 641-2,안산시청,031-481-2300,37.305972,126.902308,2016-05-31
16,안산동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 상록구 장하로 315 (수암동),경기도 안산시 상록구 수암동 506,안산시청,031-481-2300,37.361838,126.87327,2016-05-31
17,와동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 단원구 선부로 273 (와동),경기도 안산시 단원구 와동 280-1,안산시청,031-481-2300,37.341608,126.825653,2016-05-31
18,고잔1동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11-1,경기도 안산시 단원구 화정천동로 252 (고잔동),경기도 안산시 단원구 고잔동 659-6,안산시청,031-481-2300,37.327175,126.819111,2016-05-31
